feature,mean_abs_shap,directional_mean_shap,selected_algorithm
contract_Month-to-month,0.06318103015927846,-0.011448759691175035,balanced_random_forest
tenure,0.053368374375675126,-0.01852645183068026,balanced_random_forest
internet_service_Fiber optic,0.04684317944060359,-0.005970531361686019,balanced_random_forest
total_charges,0.03664616859711295,-0.01611403892881659,balanced_random_forest
contract_Two year,0.03322722473671488,-0.00026048754488393105,balanced_random_forest
online_security_No,0.030371838142214024,-0.00739930920793736,balanced_random_forest
tech_support_No,0.02596282233347323,-0.005476705223327515,balanced_random_forest
payment_method_Electronic check,0.023952279227034887,-0.0045257377692601315,balanced_random_forest
monthly_charges,0.021391335448472503,-0.014639698121955546,balanced_random_forest
internet_service_DSL,0.01801148880850378,-0.001317666272607552,balanced_random_forest
online_backup_No,0.015741629091760433,-0.003688117258334549,balanced_random_forest
online_security_Yes,0.011591596301244105,-0.002579787721288291,balanced_random_forest
contract_One year,0.011166334667939922,-0.004124380931507582,balanced_random_forest
device_protection_No,0.010441761570416009,-0.002312980495702352,balanced_random_forest
paperless_billing_No,0.009790581589405623,-0.0013101307677180144,balanced_random_forest
paperless_billing_Yes,0.009393765168808464,-0.001536788979802883,balanced_random_forest
tech_support_Yes,0.007879356314831606,-0.0012788060739520111,balanced_random_forest
dependents_No,0.00750178860890683,-0.0007851049176718563,balanced_random_forest
dependents_Yes,0.007302947156237542,-0.0006366248127545395,balanced_random_forest
streaming_tv_No internet service,0.006989231763870197,0.00047109402559194835,balanced_random_forest
device_protection_No internet service,0.006811397036722999,0.0003844010909116064,balanced_random_forest
online_security_No internet service,0.006780682511949103,0.00028098231530737086,balanced_random_forest
streaming_movies_Yes,0.006717267968165252,-0.001389569185746826,balanced_random_forest
senior_citizen,0.0066351744582742525,-0.002218644905120829,balanced_random_forest
online_backup_Yes,0.006493424131404393,-0.001179935179955913,balanced_random_forest
streaming_tv_Yes,0.006172602168899635,-0.001525414972481369,balanced_random_forest
online_backup_No internet service,0.0060073549799138795,0.0006172775723177607,balanced_random_forest
internet_service_No,0.005903054477155923,0.0004642039549850836,balanced_random_forest
streaming_movies_No,0.0055907906505656664,-0.0002698811455364745,balanced_random_forest
streaming_tv_No,0.005575343352925605,0.00041457317474877557,balanced_random_forest
streaming_movies_No internet service,0.005328823882312012,0.0003491098220368856,balanced_random_forest
multiple_lines_No,0.004783663298969183,-0.00033635584868474904,balanced_random_forest
partner_Yes,0.004470487182573338,-0.0009076775524901503,balanced_random_forest
partner_No,0.004417774024125015,-0.0005431460911301261,balanced_random_forest
tech_support_No internet service,0.004186118649374201,0.0006096614076849673,balanced_random_forest
payment_method_Credit card (automatic),0.004037726977159045,-0.0009310286892775392,balanced_random_forest
payment_method_Bank transfer (automatic),0.004013575055675333,-0.0007997935333223586,balanced_random_forest
payment_method_Mailed check,0.003988558511049097,-0.0005596668812806261,balanced_random_forest
gender_Female,0.003931243799591311,-0.001335028620387623,balanced_random_forest
gender_Male,0.003926713178705862,-0.0010879761791671673,balanced_random_forest
device_protection_Yes,0.0038980248443359605,-0.00029181648940997606,balanced_random_forest
multiple_lines_Yes,0.003704490376902983,-0.0009101080506115039,balanced_random_forest
phone_service_Yes,0.0017056587652171883,-0.0006463775147313159,balanced_random_forest
multiple_lines_No phone service,0.001586719085810563,-0.000499520560776534,balanced_random_forest
phone_service_No,0.0015543404784046375,-0.0006485133116704248,balanced_random_forest
